dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases,group_value_label
BPI12,gemma-2-2b,llm,y_true_na,2,95,0.8105263157894737,0.1894736842105263,95,<EOS>
BPI12,gemma-2-2b,llm,y_true_na,3,31,0.0,1.0,31,A_ACCEPTED
BPI12,gemma-2-2b,llm,y_true_na,6,31,0.2580645161290322,0.7419354838709677,31,A_CANCELLED
BPI12,gemma-2-2b,llm,y_true_na,7,57,0.2456140350877192,0.7543859649122807,57,A_DECLINED
BPI12,gemma-2-2b,llm,y_true_na,8,37,0.054054054054054,0.945945945945946,37,A_FINALIZED
BPI12,gemma-2-2b,llm,y_true_na,9,91,1.0,0.0,91,A_PARTLYSUBMITTED
BPI12,gemma-2-2b,llm,y_true_na,10,53,0.0,1.0,53,A_PREACCEPTED
BPI12,gemma-2-2b,llm,y_true_na,15,45,0.1555555555555555,0.8444444444444444,45,O_CREATED
BPI12,gemma-2-2b,llm,y_true_na,17,56,0.1071428571428571,0.8928571428571429,56,O_SELECTED
BPI12,gemma-2-2b,llm,y_true_na,18,61,1.0,0.0,60,O_SENT
BPI12,gemma-2-2b,llm,y_true_na,19,31,0.032258064516129,0.967741935483871,31,O_SENT_BACK
BPI12,gemma-2-2b,llm,y_true_na,20,99,0.7676767676767676,0.2323232323232323,97,W_Afhandelen leads
BPI12,gemma-2-2b,llm,y_true_na,22,486,0.8024691358024691,0.1975308641975308,388,W_Completeren aanvraag
BPI12,gemma-2-2b,llm,y_true_na,23,169,0.0177514792899408,0.9822485207100592,124,W_Nabellen incomplete dossiers
BPI12,gemma-2-2b,llm,y_true_na,24,381,0.6745406824146981,0.3254593175853019,309,W_Nabellen offertes
BPI12,gemma-2-2b,llm,y_true_na,25,161,0.6583850931677019,0.3416149068322981,141,W_Valideren aanvraag
BPI12,llama32-1b,llm,y_true_na,2,95,0.9052631578947368,0.0947368421052631,95,<EOS>
BPI12,llama32-1b,llm,y_true_na,3,31,0.0,1.0,31,A_ACCEPTED
BPI12,llama32-1b,llm,y_true_na,6,31,0.0,1.0,31,A_CANCELLED
BPI12,llama32-1b,llm,y_true_na,7,57,0.5263157894736842,0.4736842105263158,57,A_DECLINED
BPI12,llama32-1b,llm,y_true_na,8,37,0.2702702702702703,0.7297297297297297,37,A_FINALIZED
BPI12,llama32-1b,llm,y_true_na,9,91,1.0,0.0,91,A_PARTLYSUBMITTED
BPI12,llama32-1b,llm,y_true_na,10,53,0.0,1.0,53,A_PREACCEPTED
BPI12,llama32-1b,llm,y_true_na,15,45,0.9555555555555556,0.0444444444444444,45,O_CREATED
BPI12,llama32-1b,llm,y_true_na,17,56,0.1964285714285714,0.8035714285714286,56,O_SELECTED
BPI12,llama32-1b,llm,y_true_na,18,61,0.8852459016393442,0.1147540983606557,60,O_SENT
BPI12,llama32-1b,llm,y_true_na,19,31,0.0,1.0,31,O_SENT_BACK
BPI12,llama32-1b,llm,y_true_na,20,99,0.3838383838383838,0.6161616161616161,97,W_Afhandelen leads
BPI12,llama32-1b,llm,y_true_na,22,486,0.8930041152263375,0.1069958847736625,388,W_Completeren aanvraag
BPI12,llama32-1b,llm,y_true_na,23,169,0.0,1.0,124,W_Nabellen incomplete dossiers
BPI12,llama32-1b,llm,y_true_na,24,381,0.6850393700787402,0.3149606299212598,309,W_Nabellen offertes
BPI12,llama32-1b,llm,y_true_na,25,161,0.4472049689440994,0.5527950310559007,141,W_Valideren aanvraag
BPI12,rnn,sequence,y_true_na,2,95,0.6842105263157895,0.3157894736842105,95,<EOS>
BPI12,rnn,sequence,y_true_na,3,31,0.0,1.0,31,A_ACCEPTED
BPI12,rnn,sequence,y_true_na,6,31,0.1935483870967742,0.8064516129032258,31,A_CANCELLED
BPI12,rnn,sequence,y_true_na,7,57,0.4385964912280701,0.5614035087719298,57,A_DECLINED
BPI12,rnn,sequence,y_true_na,8,37,0.3783783783783784,0.6216216216216216,37,A_FINALIZED
BPI12,rnn,sequence,y_true_na,9,91,1.0,0.0,91,A_PARTLYSUBMITTED
BPI12,rnn,sequence,y_true_na,10,53,0.0,1.0,53,A_PREACCEPTED
BPI12,rnn,sequence,y_true_na,15,45,0.9777777777777776,0.0222222222222222,45,O_CREATED
BPI12,rnn,sequence,y_true_na,17,56,0.2857142857142857,0.7142857142857143,56,O_SELECTED
BPI12,rnn,sequence,y_true_na,18,61,0.9836065573770492,0.0163934426229508,60,O_SENT
BPI12,rnn,sequence,y_true_na,19,31,0.1290322580645161,0.8709677419354839,31,O_SENT_BACK
BPI12,rnn,sequence,y_true_na,20,99,0.5959595959595959,0.4040404040404041,97,W_Afhandelen leads
BPI12,rnn,sequence,y_true_na,22,486,0.9958847736625516,0.0041152263374485,388,W_Completeren aanvraag
BPI12,rnn,sequence,y_true_na,23,169,0.8106508875739645,0.1893491124260354,124,W_Nabellen incomplete dossiers
BPI12,rnn,sequence,y_true_na,24,381,0.8608923884514436,0.1391076115485564,309,W_Nabellen offertes
BPI12,rnn,sequence,y_true_na,25,161,0.8571428571428571,0.1428571428571429,141,W_Valideren aanvraag
BPI12,saprpt,tabular_fm,y_true_na,2,95,0.3368421052631579,0.6631578947368422,95,<EOS>
BPI12,saprpt,tabular_fm,y_true_na,3,31,0.0,1.0,31,A_ACCEPTED
BPI12,saprpt,tabular_fm,y_true_na,6,31,0.0,1.0,31,A_CANCELLED
BPI12,saprpt,tabular_fm,y_true_na,7,57,0.0701754385964912,0.9298245614035088,57,A_DECLINED
BPI12,saprpt,tabular_fm,y_true_na,8,37,0.054054054054054,0.945945945945946,37,A_FINALIZED
BPI12,saprpt,tabular_fm,y_true_na,9,91,1.0,0.0,91,A_PARTLYSUBMITTED
BPI12,saprpt,tabular_fm,y_true_na,10,53,0.6415094339622641,0.3584905660377359,53,A_PREACCEPTED
BPI12,saprpt,tabular_fm,y_true_na,15,45,0.4888888888888889,0.5111111111111111,45,O_CREATED
BPI12,saprpt,tabular_fm,y_true_na,17,56,0.6785714285714286,0.3214285714285714,56,O_SELECTED
BPI12,saprpt,tabular_fm,y_true_na,18,61,1.0,0.0,60,O_SENT
BPI12,saprpt,tabular_fm,y_true_na,19,31,0.0,1.0,31,O_SENT_BACK
BPI12,saprpt,tabular_fm,y_true_na,20,99,0.4444444444444444,0.5555555555555556,97,W_Afhandelen leads
BPI12,saprpt,tabular_fm,y_true_na,22,486,0.8580246913580247,0.1419753086419752,388,W_Completeren aanvraag
BPI12,saprpt,tabular_fm,y_true_na,23,169,0.7337278106508875,0.2662721893491124,124,W_Nabellen incomplete dossiers
BPI12,saprpt,tabular_fm,y_true_na,24,381,0.8162729658792651,0.1837270341207348,309,W_Nabellen offertes
BPI12,saprpt,tabular_fm,y_true_na,25,161,0.4409937888198758,0.5590062111801242,141,W_Valideren aanvraag
