dataset,row_key,case_id,pos,prefix_length,case_length,activity_current,y_true_na,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,n_sequence_correct,n_tabular_correct,n_llm_correct,sequence_correct_tabular_wrong,sequence_correct_llm_wrong,llm_correct_sequence_wrong,tabular_correct_sequence_wrong,pred_gemma-2-2b,pred_llama32-1b,pred_rnn,pred_saprpt,pred_tabpfn3,pred_transformer,activity_current_label,y_true_na_label,pred_gemma-2-2b_label,pred_llama32-1b_label,pred_rnn_label,pred_saprpt_label,pred_tabpfn3_label,pred_transformer_label
BPI12,191413::41,191413,41,42,76,23,25,False,False,True,False,False,True,2,0,0,True,True,False,False,23,2,25,23,23,25,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,191413::60,191413,60,61,76,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,25,25,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,191611::43,191611,43,44,45,6,14,True,False,True,False,False,True,2,0,1,True,False,False,False,14,25,14,2,2,14,A_CANCELLED,O_CANCELLED,O_CANCELLED,W_Valideren aanvraag,O_CANCELLED,<EOS>,<EOS>,O_CANCELLED
BPI12,192088::24,192088,24,25,38,24,24,True,True,False,True,True,False,0,2,2,False,False,True,True,24,24,19,24,24,19,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK
BPI12,192247::6,192247,6,7,31,20,22,True,True,True,False,False,True,2,0,2,True,False,False,False,22,22,22,20,20,22,W_Afhandelen leads,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Afhandelen leads,W_Afhandelen leads,W_Completeren aanvraag
BPI12,192467::12,192467,12,13,33,24,22,True,True,True,False,False,True,2,0,2,True,False,False,False,22,22,22,24,24,22,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Completeren aanvraag
BPI12,192560::21,192560,21,22,26,24,24,True,True,False,True,True,False,0,2,2,False,False,True,True,24,24,6,24,24,6,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED
BPI12,192560::9,192560,9,10,26,8,17,False,True,True,False,False,True,2,0,1,True,False,False,False,15,17,17,15,15,17,A_FINALIZED,O_SELECTED,O_CREATED,O_SELECTED,O_SELECTED,O_CREATED,O_CREATED,O_SELECTED
BPI12,192635::61,192635,61,62,90,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,25,25,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,192710::38,192710,38,39,50,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,25,25,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,192710::49,192710,49,50,50,25,2,True,True,False,False,False,True,1,0,2,True,False,False,False,2,2,25,25,25,2,W_Valideren aanvraag,<EOS>,<EOS>,<EOS>,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>
BPI12,192740::22,192740,22,23,48,25,23,False,False,True,True,False,True,2,1,0,False,True,False,False,24,25,23,23,24,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen offertes,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen offertes,W_Nabellen incomplete dossiers
BPI12,192894::24,192894,24,25,27,24,14,False,False,False,False,False,True,1,0,0,True,True,False,False,6,25,24,24,6,14,W_Nabellen offertes,O_CANCELLED,A_CANCELLED,W_Valideren aanvraag,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,O_CANCELLED
BPI12,193095::29,193095,29,30,30,14,2,False,False,False,False,True,False,0,1,0,False,False,False,True,24,4,24,17,2,24,O_CANCELLED,<EOS>,W_Nabellen offertes,A_ACTIVATED,W_Nabellen offertes,O_SELECTED,<EOS>,W_Nabellen offertes
